"round","Year","Sex","Age","Person-years","seroconversions","Incidence","lb","ub"
7,2000,"Men","15-24",776,9,1.16,0.6,2.23
8,2001,"Men","15-24",1193,10,0.84,0.45,1.56
9,2003,"Men","15-24",1267,16,1.26,0.77,2.06
10,2004,"Men","15-24",1307,12,0.92,0.52,1.62
11,2005,"Men","15-24",1366,9,0.66,0.34,1.27
12,2007,"Men","15-24",1547,11,0.71,0.39,1.28
13,2009,"Men","15-24",1776,12,0.68,0.38,1.19
14,2010,"Men","15-24",1728,16,0.93,0.57,1.51
15,2012,"Men","15-24",1873,8,0.43,0.21,0.85
16,2014,"Men","15-24",2373,5,0.21,0.09,0.51
17,2016,"Men","15-24",2265,5,0.22,0.09,0.53
18,2017,"Men","15-24",2329,6,0.26,0.12,0.57
19,2019,"Men","15-24",2262,7,0.31,0.15,0.65
7,2000,"Men","25-34",684,11,1.61,0.89,2.9
8,2001,"Men","25-34",1077,11,1.02,0.57,1.84
9,2003,"Men","25-34",1229,19,1.55,0.99,2.42
10,2004,"Men","25-34",1364,27,1.98,1.36,2.89
11,2005,"Men","25-34",1716,31,1.81,1.27,2.57
12,2007,"Men","25-34",2071,27,1.3,0.89,1.9
13,2009,"Men","25-34",2159,43,1.99,1.48,2.69
14,2010,"Men","25-34",1966,21,1.07,0.7,1.64
15,2012,"Men","25-34",2046,24,1.17,0.79,1.75
16,2014,"Men","25-34",2552,27,1.06,0.73,1.54
17,2016,"Men","25-34",2125,12,0.56,0.32,0.99
18,2017,"Men","25-34",2054,13,0.63,0.37,1.09
19,2019,"Men","25-34",2121,8,0.38,0.19,0.75
7,2000,"Men","35-49",380,1,0.26,0.04,1.87
8,2001,"Men","35-49",617,10,1.62,0.87,3.01
9,2003,"Men","35-49",719,5,0.7,0.29,1.67
10,2004,"Men","35-49",812,8,0.99,0.49,1.97
11,2005,"Men","35-49",1090,10,0.92,0.49,1.71
12,2007,"Men","35-49",1401,11,0.79,0.43,1.42
13,2009,"Men","35-49",1633,16,0.98,0.6,1.6
14,2010,"Men","35-49",1680,19,1.13,0.72,1.77
15,2012,"Men","35-49",1839,11,0.6,0.33,1.08
16,2014,"Men","35-49",2608,9,0.35,0.18,0.66
17,2016,"Men","35-49",2388,10,0.42,0.23,0.78
18,2017,"Men","35-49",2453,7,0.29,0.14,0.6
19,2019,"Men","35-49",2625,5,0.19,0.08,0.46
7,2000,"Women","15-24",1057,16,1.51,0.93,2.47
8,2001,"Women","15-24",1489,24,1.61,1.08,2.4
9,2003,"Women","15-24",1570,25,1.59,1.08,2.36
10,2004,"Women","15-24",1607,28,1.74,1.2,2.52
11,2005,"Women","15-24",1684,27,1.6,1.1,2.34
12,2007,"Women","15-24",1753,22,1.25,0.83,1.91
13,2009,"Women","15-24",1785,27,1.51,1.04,2.21
14,2010,"Women","15-24",1697,20,1.18,0.76,1.83
15,2012,"Women","15-24",1848,26,1.41,0.96,2.07
16,2014,"Women","15-24",2201,29,1.32,0.92,1.9
17,2016,"Women","15-24",2072,23,1.11,0.74,1.67
18,2017,"Women","15-24",2065,7,0.34,0.16,0.71
19,2019,"Women","15-24",1999,9,0.45,0.23,0.87
7,2000,"Women","25-34",699,6,0.86,0.39,1.91
8,2001,"Women","25-34",1177,19,1.61,1.03,2.53
9,2003,"Women","25-34",1373,15,1.09,0.66,1.81
10,2004,"Women","25-34",1589,30,1.89,1.32,2.7
11,2005,"Women","25-34",2107,33,1.57,1.11,2.2
12,2007,"Women","25-34",2681,35,1.31,0.94,1.82
13,2009,"Women","25-34",2896,44,1.52,1.13,2.04
14,2010,"Women","25-34",2669,36,1.35,0.97,1.87
15,2012,"Women","25-34",2761,31,1.12,0.79,1.6
16,2014,"Women","25-34",3367,27,0.8,0.55,1.17
17,2016,"Women","25-34",2773,34,1.23,0.88,1.72
18,2017,"Women","25-34",2633,20,0.76,0.49,1.18
19,2019,"Women","25-34",2690,13,0.48,0.28,0.83
7,2000,"Women","35-49",620,5,0.81,0.34,1.94
8,2001,"Women","35-49",915,7,0.76,0.36,1.6
9,2003,"Women","35-49",924,8,0.87,0.43,1.73
10,2004,"Women","35-49",1058,8,0.76,0.38,1.51
11,2005,"Women","35-49",1320,12,0.91,0.52,1.6
12,2007,"Women","35-49",1628,15,0.92,0.56,1.53
13,2009,"Women","35-49",1797,18,1,0.63,1.59
14,2010,"Women","35-49",1804,23,1.27,0.85,1.92
15,2012,"Women","35-49",2001,14,0.7,0.41,1.18
16,2014,"Women","35-49",2778,15,0.54,0.33,0.9
17,2016,"Women","35-49",2687,12,0.45,0.25,0.79
18,2017,"Women","35-49",2831,16,0.57,0.35,0.92
19,2019,"Women","35-49",3405,16,0.47,0.29,0.77
