"year","sex","prevcount","hivpos","hivprev","se","lb","ub"
"1999","F",3025,450,0.148760330578512,0.00647003760829782,0.136079056866249,0.161441604290776
"1999","M",2227,247,0.110911540188595,0.0066542750198822,0.0978691611496254,0.123953919227564
"2000","F",3931,614,0.15619435258204,0.00579031720116732,0.144845330867752,0.167543374296328
"2000","M",3015,319,0.105804311774461,0.00560175758323741,0.0948248669113157,0.116783756637606
"2001","F",2887,428,0.148250779355733,0.00661349413979853,0.135288330841727,0.161213227869738
"2001","M",2393,245,0.102381947346427,0.00619706616092785,0.0902356976710085,0.114528197021846
"2002","F",4138,581,0.140405993233446,0.0054006280692331,0.129820762217749,0.150991224249143
"2002","M",3028,313,0.10336856010568,0.00553252365512378,0.0925248137416377,0.114212306469723
"2003","F",4309,580,0.134601995822697,0.00519930682812414,0.124411354439573,0.14479263720582
"2003","M",3369,306,0.0908281389136242,0.00495088336514946,0.0811244075179313,0.100531870309317
"2004","F",3198,478,0.149468417761101,0.00630493641669791,0.137110742384373,0.161826093137829
"2004","M",2504,231,0.0922523961661342,0.00578301369799574,0.0809176893180625,0.103587103014206
"2005","F",2648,371,0.140105740181269,0.00674514824372912,0.12688524962356,0.153326230738978
"2005","M",2176,219,0.100643382352941,0.00644954583805975,0.0880022725103441,0.113284492195538
"2006","F",3860,539,0.139637305699482,0.00557889083439451,0.128702679664069,0.150571931734895
"2006","M",2833,266,0.093893399223438,0.00548004204876498,0.0831525168078587,0.104634281639017
"2007","F",2656,373,0.140436746987952,0.00674163546561795,0.127223141475341,0.153650352500563
"2007","M",2256,213,0.0944148936170213,0.00615623716041818,0.0823486687826016,0.106481118451441
"2008","F",3924,637,0.162334352701325,0.00588675647471951,0.150796310010875,0.173872395391775
"2008","M",2804,306,0.109129814550642,0.00588829983426673,0.0975887468754792,0.120670882225805
"2009","F",3345,521,0.15575485799701,0.00626984817803333,0.143465955568065,0.168043760425956
"2009","M",2783,263,0.094502335609055,0.00554508662595634,0.0836339658221806,0.105370705395929
"2010","F",3244,528,0.162762022194821,0.00648127689287432,0.150058719484788,0.175465324904855
"2010","M",2751,289,0.105052708106143,0.0058459764309318,0.0935945943015169,0.11651082191077
"2011","F",4893,770,0.157367668097282,0.00520582070456072,0.147164259516343,0.167571076678221
"2011","M",3931,398,0.1012465021623,0.00481125958188007,0.0918164333818147,0.110676570942785
"2012","F",3389,540,0.159339038064326,0.00628688840170302,0.147016736796988,0.171661339331664
"2012","M",2901,287,0.098931402964495,0.00554334804111996,0.0880664408038999,0.10979636512509
"2013","F",2941,496,0.16865011900714,0.00690458742895619,0.155117127646386,0.182183110367895
"2013","M",2396,245,0.102253756260434,0.00618974883556323,0.0901218485427301,0.114385663978138
"2014","F",4626,755,0.163207955036749,0.00543346180908219,0.152558369890948,0.17385754018255
"2014","M",3823,354,0.0925974365681402,0.00468810504151068,0.0834087506867793,0.101786122449501
"2015","F",3625,581,0.160275862068966,0.00609324125527939,0.148333109208618,0.172218614929313
"2015","M",2975,241,0.0810084033613445,0.00500238739461252,0.071203724067904,0.0908130826547851
"2016","F",5058,841,0.166271253459866,0.00523517930535179,0.156010302021376,0.176532204898355
"2016","M",4164,401,0.0963016330451489,0.0045716525293049,0.0873411940877113,0.105262072002586
"2017","F",4087,628,0.153657939809151,0.00564089669494691,0.142601782287055,0.164714097331247
"2017","M",3480,282,0.0810344827586207,0.00462588591585574,0.0719677463635434,0.0901012191536979
"2018","F",3874,599,0.154620547237997,0.00580870925006016,0.143235477107879,0.166005617368115
"2018","M",2963,260,0.0877489031387108,0.0051977120910057,0.0775613874403396,0.0979364188370819
"2019","F",2388,356,0.149078726968174,0.00728845316028944,0.134793358774007,0.163364095162342
"2019","M",2029,171,0.0842779694430754,0.00616733926323101,0.0721899844871426,0.0963659543990082
"2020","F",3029,469,0.154836579729284,0.00657290709866188,0.141953681815906,0.167719477642661
"2020","M",2305,185,0.0802603036876356,0.00565910041445748,0.0691684668752989,0.0913521404999722
